Nº NF-e/RPS,Série,Status,Data Emissão,Natureza da Operação,Dados do Destinatário,CPF/CNPJ,Valor Total,Chave DANFE
1,1,Emitida,27/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"7,5",28171210177060000138650010000000011836332083
2,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"13,5",28171210177060000138650010000000021309501668
3,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"28,2",28171210177060000138650010000000031219781146
4,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"4,88",28171210177060000138650010000000041648423583
5,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"48,85",28171210177060000138650010000000051816301459
6,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"110,9",28171210177060000138650010000000061281873433
7,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"145,93",28171210177060000138650010000000071246684945
8,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"169,76",28171210177060000138650010000000081684846307
9,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"194,69",28171210177060000138650010000000091844737923
10,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"140,31",28171210177060000138650010000000101227949160
11,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"96,39",28171210177060000138650010000000111302064830
12,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"185,36",28171210177060000138650010000000121828649409
13,1,Emitida,29/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"96,03",28171210177060000138650010000000131637515731
14,1,Emitida,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"85,52",28171210177060000138650010000000141238027471
15,1,Emitida,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"101,15",28171210177060000138650010000000151288824500
16,1,Processando,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"108,13",28171210177060000138650010000000161823494406
17,1,Emitida,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"186,99",28171210177060000138650010000000171640011675
18,1,Processando,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"115,21",28171210177060000138650010000000181205690260
19,1,Emitida,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"124,65",28171210177060000138650010000000191264107769
20,1,Processando,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"164,93",28171210177060000138650010000000201067322188
21,1,Emitida,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"236,34",28171210177060000138650010000000211399038216
22,1,Processando,30/12/2017,Venda dentro do estado,Ao Consumidor,00000000000000,"245,78",28171210177060000138650010000000221996136916
23,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"184,36",28180110177060000138650010000000231531731513
24,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"238,85",28180110177060000138650010000000241086522191
25,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"224,03",28180110177060000138650010000000251379129989
26,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"225,8",28180110177060000138650010000000261968143380
27,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"264,52",28180110177060000138650010000000271558513877
28,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"224,29",28180110177060000138650010000000281123310228
29,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"247,36",28180110177060000138650010000000291408175610
30,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"2,3",28180110177060000138650010000000301032585290
31,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"282,56",28180110177060000138650010000000311496933617
32,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"21,2",28180110177060000138650010000000321898672041
33,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"98,7",28180110177060000138650010000000331567013242
34,1,Emitida,02/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"185,47",28180110177060000138650010000000341059375287
35,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"176,92",28180110177060000138650010000000351468947683
36,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,3,28180110177060000138650010000000361878756206
37,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"165,56",28180110177060000138650010000000371586205622
38,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"198,65",28180110177060000138650010000000381025384436
39,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"267,67",28180110177060000138650010000000391442943086
40,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"194,17",28180110177060000138650010000000401277439578
41,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"171,18",28180110177060000138650010000000411187717142
42,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"154,47",28180110177060000138650010000000421659718233
43,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"257,11",28180110177060000138650010000000431866458579
44,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"194,85",28180110177060000138650010000000441251510711
45,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"209,34",28180110177060000138650010000000451216320321
46,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"80,8",28180110177060000138650010000000461680723819
47,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"283,18",28180110177060000138650010000000471848599777
48,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"272,59",28180110177060000138650010000000481287750541
49,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"224,06",28180110177060000138650010000000491244939682
50,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"334,09",28180110177060000138650010000000501366767542
51,1,Emitida,03/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"270,79",28180110177060000138650010000000511160084315
52,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"157,22",28180110177060000138650010000000521686920486
53,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"247,89",28180110177060000138650010000000531776585705
54,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"202,08",28180110177060000138650010000000541348916379
55,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"118,63",28180110177060000138650010000000551181097504
56,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"215,3",28180110177060000138650010000000561715516047
57,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"83,78",28180110177060000138650010000000571750649217
58,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"242,38",28180110177060000138650010000000581315474678
59,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,275,28180110177060000138650010000000591155520127
60,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"255,93",28180110177060000138650010000000601457196919
61,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"301,99",28180110177060000138650010000000611008455388
62,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"260,38",28180110177060000138650010000000621605302481
63,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"134,93",28180110177060000138650010000000631921354647
64,1,Emitida,04/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"93,09",28180110177060000138650010000000641445769799
65,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"196,8",28180110177060000138650010000000651020590728
66,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"117,8",28180110177060000138650010000000661609855484
67,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"54,32",28180110177060000138650010000000671918012837
68,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,120,28180110177060000138650010000000681483663268
69,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"97,4",28180110177060000138650010000000691050497954
70,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"54,32",28180110177060000138650010000000701422216049
71,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"123,82",28180110177060000138650010000000711106106805
72,1,Emitida,05/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,58",28180110177060000138650010000000721508081596
73,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"152,52",28180110177060000138650010000000731956880341
74,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"128,53",28180110177060000138650010000000741418866610
75,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"156,99",28180110177060000138650010000000751110652168
76,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"62,5",28180110177060000138650010000000761520224570
77,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"81,97",28180110177060000138650010000000771945460841
78,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"3,7",28180110177060000138650010000000781385981202
79,1,Emitida,06/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"15,5",28180110177060000138650010000000791085509157
80,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"166,77",28180110177060000138650010000000801919559319
81,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"264,7",28180110177060000138650010000000811611251465
82,1,Emitida,08/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"279,53",28180110177060000138650010000000821021958126
