Código de Barras,Tipo de Produto,Descrição,Preço de Custo,Preço Venda Varejo,Preço Venda Atacado,Quantidade Mínima Atacado,Unidade,Ativo,Categoria do Produto,Subcategoria do Produto,Movimenta Estoque,Estoque mínimo,Quantidade em Estoque,Marca,Modelo,Código Balança,Código Interno,Tags,Tipo,NCM,CFOP,Origem,CEST,Categoria PDV,Botão PDV,Categoria na Loja Virtual,Subcategoria na Loja Virtual,Nome na Loja Virtual,Preço De,Preço Por,Altura (cm),Largura (cm),Profundidade (cm),Peso (Kg),Descrição do Produto,Garantia,Itens Inclusos,Especificações
7896004727806,Produto,EMS EXPECTOR XAROPE 120ML,"13,57","29,9",0,0,Unidade,Sim,,,Sim,0,5,EMS,,,,,Mercadoria para Revenda,30049099,,NACIONAL,1300100,,,,,,0,"29,9",0,0,0,0,,,,
7896714200736,Produto,RENALAPRIL 5 MG C/30 COMP.,"4,25","8,5",0,0,Unidade,Sim,,,Sim,0,0,NEO QUIMICA,,,,,Mercadoria para Revenda,30049099,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7896658003547,Produto,DECADRON COLIRIO,"8,26","11,83",0,0,Unidade,Sim,,,Sim,0,0,ACHE,,,,,Mercadoria para Revenda,30043999,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7896677700281,Produto,FORTEVIRON 250MG C/60 COMP,"66,29","94,7",0,0,Unidade,Sim,,,Sim,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,
7896714236247,Produto,NEOTOSS XPE PED 60ML,"3,75","7,5",0,0,Unidade,Sim,,,Não,0,0,NEO QUIMICA,,,,,Mercadoria para Revenda,30049039,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7899547515022,Produto,PERMETRINA LOÇAO 60ML,"7,54","11,7",0,0,Unidade,Sim,,,Sim,0,1,PRATI,,,,,Mercadoria para Revenda,30049021,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7896714200705,Produto,CORTICORTEN 5MG COMPRIMIDO NEO QUIMICA,"2,59","7,5",0,0,Unidade,Sim,,,Sim,0,1,NEO QUIMICA,,,,,Mercadoria para Revenda,30043999,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7896714200699,Produto,CORTICORTEN 20MG COMPRIMIDO NEO QUIMIC,"6,49","13,5",0,0,Unidade,Sim,,,Sim,0,1,NEO QUIMICA,,,,,Mercadoria para Revenda,30043999,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7898148296552,Produto,GEN FOSF SOD PREDNISOLONA 60ML 3MG P DON,"8,53","19,7",0,0,Unidade,Sim,,,Sim,0,3,PRATI,,,,,Mercadoria para Revenda,30043999,,NACIONAL,1300100,,,,,,0,"19,7",0,0,0,0,,,,
7897595620613,Produto,ROSUVASTATINA 10MG C/30 CPR,21,42,0,0,Unidade,Sim,,,Sim,0,0,SANDOZ,,,,,Mercadoria para Revenda,30049039,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7899547502565,Produto,SULFATO DE SALBUTAMOL,"3,09","4,8",0,0,Unidade,Sim,,,Sim,0,-1,PRATI,,,,,Mercadoria para Revenda,30049011,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7899470800882,Produto,SEAKALM SOLUÇÃO 100ML,"24,73","24,5",0,0,Unidade,Sim,,,Sim,0,-2,NATULAB,,,,,Mercadoria para Revenda,30049039,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7898133136047,Produto,SEAKALM PASSIFLORA INCARNATA 260MG 20CP,"13,99","24,5",0,0,Unidade,Sim,,,Sim,0,0,NATULAB,,,,,Mercadoria para Revenda,30049099,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7898060138220,Produto,SECNIMAX 1000MG 2COMP,"2,55","5,8",0,0,Unidade,Sim,,,Sim,0,12,GLOBO,,,,,Mercadoria para Revenda,30049069,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7898060132730,Produto,SINTAFLAT - 40MG CX 20 COMP,"2,38","5,5",0,0,Unidade,Sim,,,Sim,0,0,GLOBO,,,,,Mercadoria para Revenda,30049039,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7896472502820,Produto,MENOCOL 20MG C/ 30 COMP.,"2,98","7,5",0,0,Unidade,Sim,,,Sim,0,0,MULTILAB,,,,,Mercadoria para Revenda,30049099,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
7898060138091,Produto,SINVASMAX 40MG CX 30 COMP,"6,75","15,8",0,0,Unidade,Sim,,,Sim,0,2,GLOBO,,,,,Mercadoria para Revenda,30039069,,NACIONAL,1300100,,,,,,0,0,0,0,0,0,,,,
